ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,54.48,47.46,3624.28,3367.92,1497.2
20:53:00,server_20,37.51,40.52,397.78,565.18,36.21
20:53:00,server_19,52.85,66.79,541.51,774.8,20.28
20:53:00,server_18,68.99,66.08,2701.27,2306.92,866.69
20:53:00,server_17,50.42,72.71,537.21,648.42,63.39
20:53:00,server_16,86.62,89.4,874.2,1294.04,27.48
20:53:00,server_14,45.17,46.68,55.01,64.81,9497.45
20:53:00,server_13,27.41,32.75,280.19,338.78,113.34
20:53:00,server_12,99.78,10.6,992.97,586.56,74.03
20:53:00,server_11,95.73,6.45,904.02,485.41,106.21
20:53:00,server_15,54.8,60.52,624.76,422.05,68.84
20:53:00,server_9,14.38,85.78,84.46,101.41,96.88
20:53:00,server_8,40.03,51.63,3623.82,3955.64,1515.72
20:53:00,server_7,64.7,74.75,597.14,849.92,178.49
20:53:00,server_6,23.14,33.9,4.63,6.92,8108.81
20:53:00,server_5,78.21,42.09,19221.86,17425.44,174.86
20:53:00,server_4,93.67,26.0,941.08,1272.87,39.7
20:53:00,server_3,31.99,41.68,324.46,297.93,96.17
20:53:00,server_2,21.96,39.72,331.8,387.49,92.58
20:53:00,server_10,23.46,31.29,250.16,292.77,59.79
20:53:05,server_13,79.41,54.48,12561.62,11325.02,149.39
20:53:05,server_14,24.74,37.23,32.94,45.53,9795.7
20:53:05,server_15,98.85,92.57,845.27,928.18,102.55
20:53:05,server_16,43.72,41.6,106.32,154.04,4670.4
20:53:05,server_20,58.26,72.62,601.68,511.73,0.16
20:53:05,server_18,25.12,57.6,358.98,343.03,87.79
20:53:05,server_19,60.78,69.09,635.0,789.26,0.0
20:53:05,server_12,56.04,51.45,549.09,632.97,125.72
20:53:05,server_17,20.29,49.93,138.49,86.55,4168.83
20:53:05,server_11,27.76,35.43,164.97,175.05,36.54
20:53:05,server_5,29.85,32.49,238.49,300.55,107.64
20:53:05,server_9,22.68,23.45,253.36,292.83,26.38
20:53:05,server_10,42.68,29.16,4.88,5.18,6908.66
20:53:05,server_2,56.88,69.46,651.32,798.45,13.82
20:53:05,server_3,16.26,87.91,156.27,168.17,84.18
20:53:05,server_4,44.79,61.38,445.75,327.66,0.0
20:53:05,server_1,54.61,55.14,550.17,466.52,44.84
20:53:05,server_6,94.31,83.18,981.98,1409.66,0.0
20:53:05,server_7,92.93,1.05,955.17,1042.39,0.0
20:53:05,server_8,94.56,9.35,993.67,841.19,47.94
20:53:10,server_20,77.48,57.84,19893.67,22717.26,197.36
20:53:10,server_19,27.65,43.26,149.39,107.59,5240.32
20:53:10,server_18,84.8,19.33,816.53,736.79,54.43
20:53:10,server_17,38.81,40.42,416.56,220.52,69.17
20:53:10,server_16,52.42,47.32,18899.79,18400.42,81.6
20:53:10,server_14,92.45,12.06,965.19,1428.76,10.73
20:53:10,server_13,50.35,66.6,548.35,292.77,100.03
20:53:10,server_12,29.48,28.68,284.86,325.1,6.52
20:53:10,server_11,47.93,40.44,113.99,77.37,4306.91
20:53:10,server_15,27.12,24.0,101.36,64.04,6706.83
20:53:10,server_9,89.41,90.08,917.0,593.33,103.43
20:53:10,server_2,24.08,34.73,279.53,382.79,165.37
20:53:10,server_3,47.89,64.44,458.87,495.58,16.43
20:53:10,server_4,85.67,16.14,779.92,1135.27,0.0
20:53:10,server_5,85.69,2.65,889.91,461.31,20.25
20:53:10,server_1,4.53,80.72,16.1,21.44,26.87
