ts,server_id,net_in,net_out
20:53:00,server_1,3624.28,3367.92
20:53:00,server_20,397.78,565.18
20:53:00,server_19,541.51,774.8
20:53:00,server_18,2701.27,2306.92
20:53:00,server_17,537.21,648.42
20:53:00,server_16,874.2,1294.04
20:53:00,server_14,55.01,64.81
20:53:00,server_13,280.19,338.78
20:53:00,server_12,992.97,586.56
20:53:00,server_11,904.02,485.41
20:53:00,server_15,624.76,422.05
20:53:00,server_9,84.46,101.41
20:53:00,server_8,3623.82,3955.64
20:53:00,server_7,597.14,849.92
20:53:00,server_6,4.63,6.92
20:53:00,server_5,19221.86,17425.44
20:53:00,server_4,941.08,1272.87
20:53:00,server_3,324.46,297.93
20:53:00,server_2,331.8,387.49
20:53:00,server_10,250.16,292.77
20:53:05,server_13,12561.62,11325.02
20:53:05,server_14,32.94,45.53
20:53:05,server_15,845.27,928.18
20:53:05,server_16,106.32,154.04
20:53:05,server_20,601.68,511.73
20:53:05,server_18,358.98,343.03
20:53:05,server_19,635.0,789.26
20:53:05,server_12,549.09,632.97
20:53:05,server_17,138.49,86.55
20:53:05,server_11,164.97,175.05
20:53:05,server_5,238.49,300.55
20:53:05,server_9,253.36,292.83
20:53:05,server_10,4.88,5.18
20:53:05,server_2,651.32,798.45
20:53:05,server_3,156.27,168.17
20:53:05,server_4,445.75,327.66
20:53:05,server_1,550.17,466.52
20:53:05,server_6,981.98,1409.66
20:53:05,server_7,955.17,1042.39
20:53:05,server_8,993.67,841.19
20:53:10,server_20,19893.67,22717.26
20:53:10,server_19,149.39,107.59
20:53:10,server_18,816.53,736.79
20:53:10,server_17,416.56,220.52
20:53:10,server_16,18899.79,18400.42
20:53:10,server_14,965.19,1428.76
20:53:10,server_13,548.35,292.77
20:53:10,server_12,284.86,325.1
20:53:10,server_11,113.99,77.37
20:53:10,server_15,101.36,64.04
20:53:10,server_9,917.0,593.33
20:53:10,server_2,279.53,382.79
20:53:10,server_3,458.87,495.58
20:53:10,server_4,779.92,1135.27
20:53:10,server_5,889.91,461.31
20:53:10,server_1,16.1,21.44
20:53:10,server_6,345.58,200.77
20:53:10,server_7,658.88,704.23
20:53:10,server_8,386.98,342.51
20:53:10,server_10,12384.57,13956.3
20:53:15,server_12,562.42,386.58
20:53:15,server_19,1085.55,970.81
20:53:15,server_18,985.97,1084.05
20:53:15,server_17,300.49,436.31
20:53:15,server_16,119.97,164.99
20:53:15,server_15,1234.79,1238.27
20:53:15,server_14,606.6,444.2
20:53:15,server_13,152.18,81.57
20:53:15,server_11,62.58,73.41
20:53:15,server_20,111.78,139.35
20:53:15,server_9,322.47,326.27
20:53:15,server_1,76.07,51.36
20:53:15,server_2,0.0,0.0
20:53:15,server_3,478.49,307.1
20:53:15,server_4,5775.49,5787.71
20:53:15,server_10,166.56,220.37
20:53:15,server_6,334.07,396.77
20:53:15,server_7,109.51,57.43
20:53:15,server_8,956.64,983.56
20:53:15,server_5,957.08,579.34
20:53:20,server_11,396.68,375.02
20:53:20,server_19,914.17,504.25
20:53:20,server_18,4667.17,4569.67
20:53:20,server_17,670.93,914.76
20:53:20,server_16,394.58,570.86
20:53:20,server_15,832.14,884.94
20:53:20,server_14,3044.53,3548.09
20:53:20,server_13,34.22,48.33
20:53:20,server_12,404.5,576.69
20:53:20,server_20,460.18,551.58
20:53:20,server_10,597.73,363.55
20:53:20,server_8,587.74,553.59
20:53:20,server_7,3935.78,3763.13
20:53:20,server_6,256.1,207.68
20:53:20,server_5,537.73,576.42
20:53:20,server_4,867.75,767.77
20:53:20,server_3,586.71,618.86
20:53:20,server_2,292.07,405.82
20:53:20,server_1,95.03,104.79
20:53:20,server_9,383.33,509.98
20:53:25,server_13,957.18,961.45
20:53:25,server_14,342.8,277.49
20:53:25,server_16,162.24,142.75
20:53:25,server_12,620.74,460.15
20:53:25,server_18,112.46,106.62
20:53:25,server_19,373.75,426.01
20:53:25,server_20,330.36,466.21
20:53:25,server_17,581.05,524.99
20:53:25,server_11,18445.36,15086.32
20:53:25,server_15,935.61,1029.98
20:53:25,server_9,859.74,819.76
20:53:25,server_1,244.3,309.43
20:53:25,server_2,615.79,325.97
20:53:25,server_3,413.36,215.85
20:53:25,server_4,498.6,392.97
20:53:25,server_10,681.98,696.7
20:53:25,server_6,162.61,148.66
20:53:25,server_7,642.75,482.34
20:53:25,server_8,127.91,170.44
20:53:25,server_5,1934.71,2245.26
20:53:30,server_20,0.0,0.0
20:53:30,server_19,122.6,173.61
20:53:30,server_18,718.3,902.66
20:53:30,server_17,94.9,81.44
20:53:30,server_16,781.83,390.94
20:53:30,server_15,722.49,449.5
20:53:30,server_14,299.42,228.89
20:53:30,server_12,7478.52,8775.27
20:53:30,server_11,550.21,484.11
20:53:30,server_13,8152.47,8920.28
20:53:30,server_9,214.24,263.34
20:53:30,server_8,654.03,723.85
20:53:30,server_7,915.32,1139.64
20:53:30,server_6,659.19,490.24
20:53:30,server_5,561.76,788.61
20:53:30,server_4,438.56,634.02
20:53:30,server_3,142.36,109.03
20:53:30,server_2,4836.73,4889.86
20:53:30,server_10,739.1,386.91
20:53:30,server_1,434.9,542.16
20:53:35,server_13,661.89,976.67
20:53:35,server_14,27.07,29.94
20:53:35,server_15,3777.66,3924.27
20:53:35,server_16,239.03,357.59
20:53:35,server_20,10486.09,12386.11
20:53:35,server_18,7.8,9.08
20:53:35,server_19,624.4,612.96
20:53:35,server_12,570.41,848.09
20:53:35,server_17,603.32,510.06
20:53:35,server_11,377.17,396.21
20:53:35,server_3,2015.19,2393.62
20:53:35,server_9,16320.65,14727.1
20:53:35,server_8,8823.36,8607.72
20:53:35,server_7,293.93,239.56
20:53:35,server_6,198.43,223.6
20:53:35,server_5,861.99,664.37
20:53:35,server_4,474.39,404.21
20:53:35,server_2,67.37,51.57
20:53:35,server_1,83.41,115.72
20:53:35,server_10,931.71,1188.36
20:53:40,server_12,888.78,508.23
20:53:40,server_13,77.99,50.4
20:53:40,server_14,220.69,190.0
20:53:40,server_15,3702.01,3275.33
20:53:40,server_19,9603.96,9413.65
20:53:40,server_17,92.92,84.82
20:53:40,server_18,770.94,405.67
20:53:40,server_11,1040.87,844.02
