server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:52:40,20:53:10,3624.28,1497.2,Possible DDoS
server_1,20:52:50,20:53:20,3624.28,1497.2,Possible DDoS
server_1,20:53:00,20:53:30,3624.28,6585.33,Network flood + Disk thrash suspected
server_1,20:53:10,20:53:40,434.9,8015.21,Disk thrash suspected
server_1,20:53:20,20:53:50,697.87,8015.21,Disk thrash suspected
server_1,20:53:30,20:54:00,961.55,8015.21,Disk thrash suspected
server_1,20:53:40,20:54:10,961.55,61.94,""
server_1,20:53:50,20:54:20,961.55,5851.27,Disk thrash suspected
server_1,20:54:00,20:54:30,3287.31,5851.27,Network flood + Disk thrash suspected
server_1,20:54:10,20:54:40,3287.31,5851.27,Network flood + Disk thrash suspected
server_1,20:54:20,20:54:50,3287.31,1762.11,Possible DDoS
server_1,20:54:30,20:55:00,2740.6,1205.38,""
server_1,20:54:40,20:55:10,1056.62,1205.38,""
server_1,20:54:50,20:55:20,961.93,128.19,""
server_1,20:55:00,20:55:30,3242.6,8032.67,Network flood + Disk thrash suspected
server_1,20:55:10,20:55:40,3242.6,8032.67,Network flood + Disk thrash suspected
server_1,20:55:20,20:55:50,3242.6,8032.67,Network flood + Disk thrash suspected
server_1,20:55:30,20:56:00,940.08,5460.44,Disk thrash suspected
server_1,20:55:40,20:56:10,973.08,143.73,""
server_1,20:55:50,20:56:20,1304.04,1124.28,""
server_1,20:56:00,20:56:30,1304.04,1124.28,""
server_1,20:56:10,20:56:40,1304.04,1124.28,""
server_1,20:56:20,20:56:50,18514.92,61.59,Possible DDoS
server_1,20:56:30,20:57:00,19872.69,125.54,Possible DDoS
server_1,20:56:40,20:57:10,19872.69,125.54,Possible DDoS
server_1,20:56:50,20:57:20,19872.69,125.54,Possible DDoS
server_1,20:57:00,20:57:30,1512.99,1276.81,""
server_1,20:57:10,20:57:40,1512.99,1276.81,""
server_1,20:57:20,20:57:50,17038.3,1276.81,Possible DDoS
server_1,20:57:30,20:58:00,17038.3,7977.61,Network flood + Disk thrash suspected
server_1,20:57:40,20:58:10,17038.3,7977.61,Network flood + Disk thrash suspected
server_1,20:57:50,20:58:20,9490.78,7977.61,Network flood + Disk thrash suspected
server_1,20:58:00,20:58:30,9490.78,1950.07,Possible DDoS
server_1,20:58:10,20:58:40,3096.48,6575.42,Disk thrash suspected
server_1,20:58:20,20:58:50,3049.11,8790.76,Disk thrash suspected
server_1,20:58:30,20:59:00,4282.21,9015.52,Network flood + Disk thrash suspected
server_1,20:58:40,20:59:10,4282.21,9015.52,Network flood + Disk thrash suspected
server_1,20:58:50,20:59:20,4282.21,9015.52,Network flood + Disk thrash suspected
server_1,20:59:00,20:59:30,14988.27,8342.57,Network flood + Disk thrash suspected
server_1,20:59:10,20:59:40,14988.27,8342.57,Network flood + Disk thrash suspected
server_1,20:59:20,20:59:50,14988.27,8342.57,Network flood + Disk thrash suspected
server_1,20:59:30,21:00:00,6209.82,1249.36,Possible DDoS
server_1,20:59:40,21:00:10,6209.82,106.26,Possible DDoS
server_1,20:59:50,21:00:20,6209.82,5531.65,Network flood + Disk thrash suspected
server_1,21:00:00,21:00:30,893.13,5531.65,Disk thrash suspected
server_1,21:00:10,21:00:40,893.13,5531.65,Disk thrash suspected
server_1,21:00:20,21:00:50,893.13,4806.85,""
server_1,21:00:30,21:01:00,629.76,9556.22,Disk thrash suspected
server_1,21:00:40,21:01:10,629.76,9703.24,Disk thrash suspected
server_1,21:00:50,21:01:20,15735.99,9703.24,Network flood + Disk thrash suspected
server_1,21:01:00,21:01:30,15735.99,9703.24,Network flood + Disk thrash suspected
server_1,21:01:10,21:01:40,15735.99,704.14,Possible DDoS
server_1,21:01:20,21:01:50,2836.67,8742.02,Disk thrash suspected
server_1,21:01:30,21:02:00,17044.82,8742.02,Network flood + Disk thrash suspected
server_1,21:01:40,21:02:10,17044.82,8742.02,Network flood + Disk thrash suspected
server_1,21:01:50,21:02:20,17044.82,1669.08,Possible DDoS
server_1,21:02:00,21:02:30,12339.62,1669.08,Possible DDoS
server_1,21:02:10,21:02:40,4890.33,1669.08,Possible DDoS
server_1,21:02:20,21:02:50,3477.74,530.58,Possible DDoS
server_1,21:02:30,21:03:00,3477.74,530.58,Possible DDoS
server_1,21:02:40,21:03:10,4050.46,1539.69,Possible DDoS
server_1,21:02:50,21:03:20,4050.46,1539.69,Possible DDoS
server_1,21:03:00,21:03:30,4050.46,1539.69,Possible DDoS
server_1,21:03:10,21:03:40,19280.77,137.61,Possible DDoS
server_1,21:03:20,21:03:50,19280.77,137.61,Possible DDoS
server_1,21:03:30,21:04:00,19280.77,135.53,Possible DDoS
server_1,21:03:40,21:04:10,17833.75,1328.41,Possible DDoS
server_1,21:03:50,21:04:20,5677.11,1328.41,Possible DDoS
server_1,21:04:00,21:04:30,5677.11,6891.52,Network flood + Disk thrash suspected
server_1,21:04:10,21:04:40,15369.4,6891.52,Network flood + Disk thrash suspected
server_1,21:04:20,21:04:50,15369.4,9614.34,Network flood + Disk thrash suspected
server_1,21:04:30,21:05:00,15369.4,9614.34,Network flood + Disk thrash suspected
server_1,21:04:40,21:05:10,985.53,9614.34,Disk thrash suspected
server_1,21:04:50,21:05:20,985.53,9221.88,Disk thrash suspected
server_1,21:05:00,21:05:30,985.53,9221.88,Disk thrash suspected
server_1,21:05:10,21:05:40,759.79,9221.88,Disk thrash suspected
server_1,21:05:20,21:05:50,759.79,7868.97,Disk thrash suspected
server_1,21:05:30,21:06:00,885.51,99.66,""
server_1,21:05:40,21:06:10,885.51,191.4,""
server_1,21:05:50,21:06:20,9338.16,191.4,Possible DDoS
server_1,21:06:00,21:06:30,9338.16,191.4,Possible DDoS
server_1,21:06:10,21:06:40,9338.16,117.46,Possible DDoS
server_1,21:06:20,21:06:50,6318.91,196.3,Possible DDoS
server_1,21:06:30,21:07:00,6318.91,6360.23,Network flood + Disk thrash suspected
server_1,21:06:40,21:07:10,6318.91,6360.23,Network flood + Disk thrash suspected
server_1,21:06:50,21:07:20,6299.5,6360.23,Network flood + Disk thrash suspected
server_1,21:07:00,21:07:30,8670.29,686.04,Possible DDoS
server_1,21:07:10,21:07:40,8670.29,686.04,Possible DDoS
server_1,21:07:20,21:07:50,17614.02,686.04,Possible DDoS
server_1,21:07:30,21:08:00,17614.02,3166.44,Possible DDoS
server_1,21:07:40,21:08:10,17614.02,3166.44,Possible DDoS
server_1,21:07:50,21:08:20,828.22,3166.44,""
server_1,21:08:00,21:08:30,828.22,98.06,""
server_1,21:08:10,21:08:40,933.92,98.06,""
server_1,21:08:20,21:08:50,933.92,73.95,""
server_1,21:08:30,21:09:00,933.92,73.95,""
server_1,21:08:40,21:09:10,10024.34,194.9,Possible DDoS
server_1,21:08:50,21:09:20,10024.34,194.9,Possible DDoS
server_1,21:09:00,21:09:30,12338.1,194.9,Possible DDoS
server_1,21:09:10,21:09:40,12338.1,7757.39,Network flood + Disk thrash suspected
server_1,21:09:20,21:09:50,16906.53,7757.39,Network flood + Disk thrash suspected
server_1,21:09:30,21:10:00,16906.53,7757.39,Network flood + Disk thrash suspected
server_1,21:09:40,21:10:10,16906.53,4663.3,Possible DDoS
server_1,21:09:50,21:10:20,10437.36,4663.3,Possible DDoS
server_1,21:10:00,21:10:30,2554.18,4663.3,""
server_1,21:10:10,21:10:40,2554.18,833.06,""
server_1,21:10:20,21:10:50,2554.18,833.06,""
server_1,21:10:30,21:11:00,1618.0,8038.89,Disk thrash suspected
server_1,21:10:40,21:11:10,1618.0,8038.89,Disk thrash suspected
server_1,21:10:50,21:11:20,1618.0,8038.89,Disk thrash suspected
server_1,21:11:00,21:11:30,12431.62,1421.3,Possible DDoS
server_1,21:11:10,21:11:40,12431.62,1421.3,Possible DDoS
server_1,21:11:20,21:11:50,12431.62,1421.3,Possible DDoS
server_1,21:11:30,21:12:00,5799.91,113.99,Possible DDoS
server_1,21:11:40,21:12:10,15397.59,127.22,Possible DDoS
server_1,21:11:50,21:12:20,15397.59,127.22,Possible DDoS
server_1,21:12:00,21:12:30,15397.59,127.22,Possible DDoS
server_1,21:12:10,21:12:40,1015.72,7198.8,Disk thrash suspected
server_1,21:12:20,21:12:50,11936.76,7198.8,Network flood + Disk thrash suspected
server_1,21:12:30,21:13:00,11936.76,7198.8,Network flood + Disk thrash suspected
server_1,21:12:40,21:13:10,11936.76,913.11,Possible DDoS
server_1,21:12:50,21:13:20,2902.7,913.11,""
server_1,21:13:00,21:13:30,2902.7,913.11,""
server_1,21:13:10,21:13:40,2156.14,589.76,""
server_1,21:13:20,21:13:50,989.65,169.34,""
server_1,21:13:30,21:14:00,19294.76,56.95,Possible DDoS
server_1,21:13:40,21:14:10,19294.76,6127.22,Network flood + Disk thrash suspected
server_1,21:13:50,21:14:20,19294.76,6127.22,Network flood + Disk thrash suspected
server_1,21:14:00,21:14:30,10985.64,6127.22,Network flood + Disk thrash suspected
server_1,21:14:10,21:14:40,10985.64,188.15,Possible DDoS
server_1,21:14:20,21:14:50,12620.5,186.47,Possible DDoS
server_1,21:14:30,21:15:00,12902.35,186.47,Possible DDoS
server_1,21:14:40,21:15:10,12902.35,6269.93,Network flood + Disk thrash suspected
server_1,21:14:50,21:15:20,12902.35,6269.93,Network flood + Disk thrash suspected
server_1,21:15:00,21:15:30,2185.26,6269.93,Disk thrash suspected
server_1,21:15:10,21:15:40,2185.26,1492.94,""
server_1,21:15:20,21:15:50,2185.26,1492.94,""
server_1,21:15:30,21:16:00,1996.68,9230.92,Disk thrash suspected
server_1,21:15:40,21:16:10,1996.68,9230.92,Disk thrash suspected
server_1,21:15:50,21:16:20,1626.25,9230.92,Disk thrash suspected
server_1,21:16:00,21:16:30,1626.25,7311.19,Disk thrash suspected
server_1,21:16:10,21:16:40,12705.02,7311.19,Network flood + Disk thrash suspected
server_1,21:16:20,21:16:50,12705.02,7311.19,Network flood + Disk thrash suspected
server_1,21:16:30,21:17:00,12705.02,7941.98,Network flood + Disk thrash suspected
server_1,21:16:40,21:17:10,3011.71,7941.98,Disk thrash suspected
server_1,21:16:50,21:17:20,961.85,7941.98,Disk thrash suspected
server_1,21:17:00,21:17:30,961.85,102.34,""
server_1,21:17:10,21:17:40,651.3,70.76,""
server_1,21:17:20,21:17:50,928.82,70.76,""
server_1,21:17:30,21:18:00,928.82,156.2,""
server_1,21:17:40,21:18:10,3622.41,796.87,Possible DDoS
server_1,21:17:50,21:18:20,3622.41,5467.94,Network flood + Disk thrash suspected
server_1,21:18:00,21:18:30,3622.41,5467.94,Network flood + Disk thrash suspected
server_1,21:18:10,21:18:40,889.13,5467.94,Disk thrash suspected
server_1,21:18:20,21:18:50,889.13,7154.87,Disk thrash suspected
server_1,21:18:30,21:19:00,1046.19,7154.87,Disk thrash suspected
